title=Boston|tcolor=yellow|desc=tofik desc|url=http://yahoo.com
title=Dallas|tcolor=silver|desc=A sprawling, cheery Texas city.  Hot in the summer|url=http://www.dallas.com
title=Chicago|tcolor=yellow|desc=Said to be windy.  Cold in the winter, but the people are warm|url=http://www.chicago.com
title=hjzhjkzkjjkz|tcolor=black|desc=xxzxzxz|url=google.com
title=slkksslls|tcolor=red|desc=zkzkkzk|url=http://www.google.com
title=slkksslls|tcolor=red|desc=zkzkkzk|url=http://www.google.com
title=New York|tcolor=white|desc=xxzxzxz|url=http://www.google.com
title=New York|tcolor=white|desc=xxzxzxzsddsdsds|url=http://www.google.com
title=tofik|tcolor=black|desc=xxzxzxzsddsdsds|url=http://www.google.com
title=tofik2|tcolor=blue|desc=new desc|url=http://www.google.com
title=tofik3|tcolor=white|desc=xxzxzxzsddsdsds|url=#
title=tofik4|tcolor=red|desc=xxzxzxzsddsdsds|url=#
title=tofik2|tcolor=white|desc=xxzxzxzsddsdsds|url=http://www.google.com
title=tofik2|tcolor=white|desc=xxzxzxzsddsdsds|url=http://www.yahoo.com
title=tofik2|tcolor=white|desc=xxzxzxzsddsdsds|url=http://www.gmail.com
title=tofik2|tcolor=red|desc=xxzxzxzsddsdsds|url=www.google.com
title=tofik5|tcolor=red|desc=xxzxzxzsddsdsdssassadssa|url=www.google.comww.google.comww.google.com
title=tofik6|tcolor=white|desc=xxzxzxzsddsdsds new|url=www.google.comww.google.com
title=tofik7|tcolor=white|desc=xxzxzxzsddsdsds new|url=www.google.com
title=tofik7|tcolor=white|desc=xxzxzxzsddsdsds new|url=http://www.google.com
